#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
3.691210000000e+00       1.000000000000e+00       0.000000000000e+00
3.708210000000e+00       1.000000000000e+00       0.000000000000e+00
3.725210000000e+00       1.000000000000e+00       0.000000000000e+00
3.742210000000e+00       1.000000000000e+00       0.000000000000e+00
3.759210000000e+00       1.000000000000e+00       0.000000000000e+00
3.776210000000e+00       1.000000000000e+00       0.000000000000e+00
3.793210000000e+00       1.000000000000e+00       0.000000000000e+00
3.810210000000e+00       1.000000000000e+00       0.000000000000e+00
3.827210000000e+00       1.000000000000e+00       0.000000000000e+00
3.844210000000e+00       1.000000000000e+00       0.000000000000e+00
3.861210000000e+00       1.000000000000e+00       0.000000000000e+00
3.878210000000e+00       1.000000000000e+00       0.000000000000e+00
3.895210000000e+00       1.000000000000e+00       0.000000000000e+00
3.912210000000e+00       1.000000000000e+00       0.000000000000e+00
3.929210000000e+00       1.000000000000e+00       0.000000000000e+00
3.946210000000e+00       1.000000000000e+00       0.000000000000e+00
3.963210000000e+00       1.000000000000e+00       0.000000000000e+00
3.980210000000e+00       1.000000000000e+00       0.000000000000e+00
3.997210000000e+00       1.000000000000e+00       0.000000000000e+00
4.014210000000e+00       1.000000000000e+00       0.000000000000e+00
4.031210000000e+00       1.000000000000e+00       0.000000000000e+00
4.048210000000e+00       1.000000000000e+00       0.000000000000e+00
4.065210000000e+00       1.000000000000e+00       0.000000000000e+00
4.082210000000e+00       1.000000000000e+00       0.000000000000e+00
4.099210000000e+00       1.000000000000e+00       0.000000000000e+00
4.116210000000e+00       1.000000000000e+00       0.000000000000e+00
4.133210000000e+00       1.000000000000e+00       0.000000000000e+00
4.150210000000e+00       1.000000000000e+00       0.000000000000e+00
4.167210000000e+00       1.000000000000e+00       0.000000000000e+00
4.184210000000e+00       1.000000000000e+00       0.000000000000e+00
4.201210000000e+00       1.000000000000e+00       0.000000000000e+00
4.218210000000e+00       1.000000000000e+00       0.000000000000e+00
4.235210000000e+00       1.000000000000e+00       0.000000000000e+00
4.252210000000e+00       1.000000000000e+00       0.000000000000e+00
4.269210000000e+00       1.000000000000e+00       0.000000000000e+00
4.286210000000e+00       1.000000000000e+00       0.000000000000e+00
4.303210000000e+00       1.000000000000e+00       0.000000000000e+00
4.320210000000e+00       1.000000000000e+00       0.000000000000e+00
4.337210000000e+00       1.000000000000e+00       0.000000000000e+00
4.354210000000e+00       1.000000000000e+00       0.000000000000e+00
4.371210000000e+00       1.000000000000e+00       0.000000000000e+00
4.388210000000e+00       1.000000000000e+00       0.000000000000e+00
4.405210000000e+00       1.000000000000e+00       0.000000000000e+00
4.422210000000e+00       1.000000000000e+00       0.000000000000e+00
4.439210000000e+00       1.000000000000e+00       0.000000000000e+00
4.456210000000e+00       1.000000000000e+00       0.000000000000e+00
4.473210000000e+00       1.000000000000e+00       0.000000000000e+00
4.490210000000e+00       1.000000000000e+00       0.000000000000e+00
4.507210000000e+00       1.000000000000e+00       0.000000000000e+00
4.524210000000e+00       1.000000000000e+00       0.000000000000e+00
4.541210000000e+00       1.000000000000e+00       0.000000000000e+00
4.558210000000e+00       1.000000000000e+00       0.000000000000e+00
4.575210000000e+00       1.000000000000e+00       0.000000000000e+00
4.592210000000e+00       1.000000000000e+00       0.000000000000e+00
4.609210000000e+00       1.000000000000e+00       0.000000000000e+00
4.626210000000e+00       1.000000000000e+00       0.000000000000e+00
4.643210000000e+00       1.000000000000e+00       0.000000000000e+00
4.660210000000e+00       1.000000000000e+00       0.000000000000e+00
4.677210000000e+00       1.000000000000e+00       0.000000000000e+00
4.694210000000e+00       1.000000000000e+00       0.000000000000e+00
4.711210000000e+00       1.000000000000e+00       0.000000000000e+00
4.728210000000e+00       1.000000000000e+00       0.000000000000e+00
4.745210000000e+00       1.000000000000e+00       0.000000000000e+00
4.762210000000e+00       1.000000000000e+00       0.000000000000e+00
4.779210000000e+00       1.000000000000e+00       0.000000000000e+00
4.796210000000e+00       1.000000000000e+00       0.000000000000e+00
4.813210000000e+00       1.000000000000e+00       0.000000000000e+00
4.830210000000e+00       1.000000000000e+00       0.000000000000e+00
4.847210000000e+00       1.000000000000e+00       0.000000000000e+00
4.864210000000e+00       1.000000000000e+00       0.000000000000e+00
4.881210000000e+00       1.000000000000e+00       0.000000000000e+00
4.898210000000e+00       1.000000000000e+00       0.000000000000e+00
4.915210000000e+00       1.000000000000e+00       0.000000000000e+00
4.932210000000e+00       1.000000000000e+00       0.000000000000e+00
4.949210000000e+00       1.000000000000e+00       0.000000000000e+00
4.966210000000e+00       1.000000000000e+00       0.000000000000e+00
4.983210000000e+00       1.000000000000e+00       0.000000000000e+00
